index,File26,descrição_x,Taxonomia,File31,descrição_y
51,Behavioral Momentum,Used to give confidence and motivate players to continue the game.,Retention,Instructional,"Where a facilitator or teacher provides learner support within a framework determined by the course leader. Specific learning objectives are followed through sequentially. A generic instructional model such as ADDIE (Analysis, Design, Development, Implementation, and Evaluation) can be used."
52,Behavioral Momentum,Used to give confidence and motivate players to continue the game.,Retention,Repetition,"A method that uses traditional curriculum for students to practice at home or onsite. Although significant practice is performed, higher order learning is not involved."
53,"Cascading Information, Cut Scene, Story",Information released in minimal snippets to gain the appropriate level of understanding at each point during a game.,Retention,Discover,"An inquiry-based learning mechanic (from constructivist learning theory) where the learner draws on past experiences and existing knowledge to discover new facts and relationships to solve problems. As a result, learners are more likely to retain concepts and knowledge in contrast to transmissionist learning. Related to: guided discovery, problem-based learning, simulation-based learning, case-based learning, and incidental learning."
54,"Cascading Information, Cut Scene, Story",Information released in minimal snippets to gain the appropriate level of understanding at each point during a game.,Retention,Explore,"A mechanism that encourages the learner to explore and experiment to uncover relationships, with much less of a focus on didactic training (teaching students by lecturing them). Exploratory learning approaches are considered most appropriate for teaching generalised thinking and problemsolving skills, and may not be the best approach for such things as memorisation (or repetition). Is related to constructivist theory."
55,"Cascading Information, Cut Scene, Story",Information released in minimal snippets to gain the appropriate level of understanding at each point during a game.,Retention,Generalisation-Discrimination,"In psychology this relates to the process by which people learn to make different responses to different stimuli. Behaviourists describe this as classical conditioning (also Pavlovian or respondent conditioning, Pavlovian reinforcement). In some ways this can be viewed as induction. Induction (inductive learning/teaching) aims at equipping learners with background information so that they might become effective in their role sooner."
56,"Cascading Information, Cut Scene, Story",Information released in minimal snippets to gain the appropriate level of understanding at each point during a game.,Retention,Guidance,"A means to help students see the structure, links and direction of the course material."
57,"Cascading Information, Cut Scene, Story",Information released in minimal snippets to gain the appropriate level of understanding at each point during a game.,Retention,Instructional,"Where a facilitator or teacher provides learner support within a framework determined by the course leader. Specific learning objectives are followed through sequentially. A generic instructional model such as ADDIE (Analysis, Design, Development, Implementation, and Evaluation) can be used."
58,"Cascading Information, Cut Scene, Story",Information released in minimal snippets to gain the appropriate level of understanding at each point during a game.,Retention,Repetition,"A method that uses traditional curriculum for students to practice at home or onsite. Although significant practice is performed, higher order learning is not involved."
59,Pavlovian Interaction,"Follows the methodology ‘easy to learn, hard to master’. Meaning the game is simple to pick up and play, however, increases its difficulty as the user advances through the game. Used to ‘hook’ gamers due to its replay value and challenging environment.",Retention,Discover,"An inquiry-based learning mechanic (from constructivist learning theory) where the learner draws on past experiences and existing knowledge to discover new facts and relationships to solve problems. As a result, learners are more likely to retain concepts and knowledge in contrast to transmissionist learning. Related to: guided discovery, problem-based learning, simulation-based learning, case-based learning, and incidental learning."
60,Pavlovian Interaction,"Follows the methodology ‘easy to learn, hard to master’. Meaning the game is simple to pick up and play, however, increases its difficulty as the user advances through the game. Used to ‘hook’ gamers due to its replay value and challenging environment.",Retention,Explore,"A mechanism that encourages the learner to explore and experiment to uncover relationships, with much less of a focus on didactic training (teaching students by lecturing them). Exploratory learning approaches are considered most appropriate for teaching generalised thinking and problemsolving skills, and may not be the best approach for such things as memorisation (or repetition). Is related to constructivist theory."
61,Pavlovian Interaction,"Follows the methodology ‘easy to learn, hard to master’. Meaning the game is simple to pick up and play, however, increases its difficulty as the user advances through the game. Used to ‘hook’ gamers due to its replay value and challenging environment.",Retention,Generalisation-Discrimination,"In psychology this relates to the process by which people learn to make different responses to different stimuli. Behaviourists describe this as classical conditioning (also Pavlovian or respondent conditioning, Pavlovian reinforcement). In some ways this can be viewed as induction. Induction (inductive learning/teaching) aims at equipping learners with background information so that they might become effective in their role sooner."
62,Pavlovian Interaction,"Follows the methodology ‘easy to learn, hard to master’. Meaning the game is simple to pick up and play, however, increases its difficulty as the user advances through the game. Used to ‘hook’ gamers due to its replay value and challenging environment.",Retention,Guidance,"A means to help students see the structure, links and direction of the course material."
63,Pavlovian Interaction,"Follows the methodology ‘easy to learn, hard to master’. Meaning the game is simple to pick up and play, however, increases its difficulty as the user advances through the game. Used to ‘hook’ gamers due to its replay value and challenging environment.",Retention,Instructional,"Where a facilitator or teacher provides learner support within a framework determined by the course leader. Specific learning objectives are followed through sequentially. A generic instructional model such as ADDIE (Analysis, Design, Development, Implementation, and Evaluation) can be used."
64,Pavlovian Interaction,"Follows the methodology ‘easy to learn, hard to master’. Meaning the game is simple to pick up and play, however, increases its difficulty as the user advances through the game. Used to ‘hook’ gamers due to its replay value and challenging environment.",Retention,Repetition,"A method that uses traditional curriculum for students to practice at home or onsite. Although significant practice is performed, higher order learning is not involved."
65,Tokens to Act as Cards or Random Elements,"To add the element of surprise and act as a randomiser, cards and tokens can be used to add a layer of unpredictability to the game and determine game states.",Retention,Discover,"An inquiry-based learning mechanic (from constructivist learning theory) where the learner draws on past experiences and existing knowledge to discover new facts and relationships to solve problems. As a result, learners are more likely to retain concepts and knowledge in contrast to transmissionist learning. Related to: guided discovery, problem-based learning, simulation-based learning, case-based learning, and incidental learning."
66,Tokens to Act as Cards or Random Elements,"To add the element of surprise and act as a randomiser, cards and tokens can be used to add a layer of unpredictability to the game and determine game states.",Retention,Explore,"A mechanism that encourages the learner to explore and experiment to uncover relationships, with much less of a focus on didactic training (teaching students by lecturing them). Exploratory learning approaches are considered most appropriate for teaching generalised thinking and problemsolving skills, and may not be the best approach for such things as memorisation (or repetition). Is related to constructivist theory."
67,Tokens to Act as Cards or Random Elements,"To add the element of surprise and act as a randomiser, cards and tokens can be used to add a layer of unpredictability to the game and determine game states.",Retention,Generalisation-Discrimination,"In psychology this relates to the process by which people learn to make different responses to different stimuli. Behaviourists describe this as classical conditioning (also Pavlovian or respondent conditioning, Pavlovian reinforcement). In some ways this can be viewed as induction. Induction (inductive learning/teaching) aims at equipping learners with background information so that they might become effective in their role sooner."
68,Tokens to Act as Cards or Random Elements,"To add the element of surprise and act as a randomiser, cards and tokens can be used to add a layer of unpredictability to the game and determine game states.",Retention,Guidance,"A means to help students see the structure, links and direction of the course material."
69,Tokens to Act as Cards or Random Elements,"To add the element of surprise and act as a randomiser, cards and tokens can be used to add a layer of unpredictability to the game and determine game states.",Retention,Instructional,"Where a facilitator or teacher provides learner support within a framework determined by the course leader. Specific learning objectives are followed through sequentially. A generic instructional model such as ADDIE (Analysis, Design, Development, Implementation, and Evaluation) can be used."
70,Tokens to Act as Cards or Random Elements,"To add the element of surprise and act as a randomiser, cards and tokens can be used to add a layer of unpredictability to the game and determine game states.",Retention,Repetition,"A method that uses traditional curriculum for students to practice at home or onsite. Although significant practice is performed, higher order learning is not involved."
71,Virality,Mechanics to grow player base which if done right should enrich gameplay. Also designed to reinforce retention.,Retention,Discover,"An inquiry-based learning mechanic (from constructivist learning theory) where the learner draws on past experiences and existing knowledge to discover new facts and relationships to solve problems. As a result, learners are more likely to retain concepts and knowledge in contrast to transmissionist learning. Related to: guided discovery, problem-based learning, simulation-based learning, case-based learning, and incidental learning."
72,Virality,Mechanics to grow player base which if done right should enrich gameplay. Also designed to reinforce retention.,Retention,Explore,"A mechanism that encourages the learner to explore and experiment to uncover relationships, with much less of a focus on didactic training (teaching students by lecturing them). Exploratory learning approaches are considered most appropriate for teaching generalised thinking and problemsolving skills, and may not be the best approach for such things as memorisation (or repetition). Is related to constructivist theory."
73,Virality,Mechanics to grow player base which if done right should enrich gameplay. Also designed to reinforce retention.,Retention,Generalisation-Discrimination,"In psychology this relates to the process by which people learn to make different responses to different stimuli. Behaviourists describe this as classical conditioning (also Pavlovian or respondent conditioning, Pavlovian reinforcement). In some ways this can be viewed as induction. Induction (inductive learning/teaching) aims at equipping learners with background information so that they might become effective in their role sooner."
74,Virality,Mechanics to grow player base which if done right should enrich gameplay. Also designed to reinforce retention.,Retention,Guidance,"A means to help students see the structure, links and direction of the course material."
75,Virality,Mechanics to grow player base which if done right should enrich gameplay. Also designed to reinforce retention.,Retention,Instructional,"Where a facilitator or teacher provides learner support within a framework determined by the course leader. Specific learning objectives are followed through sequentially. A generic instructional model such as ADDIE (Analysis, Design, Development, Implementation, and Evaluation) can be used."
76,Virality,Mechanics to grow player base which if done right should enrich gameplay. Also designed to reinforce retention.,Retention,Repetition,"A method that uses traditional curriculum for students to practice at home or onsite. Although significant practice is performed, higher order learning is not involved."
77,Capture-Eliminate,"The strength of the player is defined by how many points or counters the player has captured. This is most prominent in action, strategic or war based games. Many board games also use this technique.",Applying,Action-Task,"An approach to learning involving individuals working on real projects, possibly with group support (collaborative/cooperative learning) to assist members reflect on their experience and to plan next actions."
78,Capture-Eliminate,"The strength of the player is defined by how many points or counters the player has captured. This is most prominent in action, strategic or war based games. Many board games also use this technique.",Applying,Competition,Competitive learning is often used as an extracurricular activity to develop creativity and problem solving skills. Game theory offers techniques for formulating competition between parties that wish to reach an optimal position.
79,Capture-Eliminate,"The strength of the player is defined by how many points or counters the player has captured. This is most prominent in action, strategic or war based games. Many board games also use this technique.",Applying,Imitation,"This is similar to role-play where a planned learning activity requires participants to take on the role of individuals representing different perspectives (e.g. mock interview) to meet specific learning objectives, such as to promote empathy or to expose participants to a scenario in which they will have to take part in the future"
80,Capture-Eliminate,"The strength of the player is defined by how many points or counters the player has captured. This is most prominent in action, strategic or war based games. Many board games also use this technique.",Applying,Simulation,Often associated with role-play it is increasingly used with ICTbased learning activities for decision-making to simulate cause and effect.
81,Collecting,"Elements of virtual knowledge, competencies, or rewards can be represented by virtual objects, which can be collected by the player.",Applying,Action-Task,"An approach to learning involving individuals working on real projects, possibly with group support (collaborative/cooperative learning) to assist members reflect on their experience and to plan next actions."
82,Collecting,"Elements of virtual knowledge, competencies, or rewards can be represented by virtual objects, which can be collected by the player.",Applying,Competition,Competitive learning is often used as an extracurricular activity to develop creativity and problem solving skills. Game theory offers techniques for formulating competition between parties that wish to reach an optimal position.
83,Collecting,"Elements of virtual knowledge, competencies, or rewards can be represented by virtual objects, which can be collected by the player.",Applying,Imitation,"This is similar to role-play where a planned learning activity requires participants to take on the role of individuals representing different perspectives (e.g. mock interview) to meet specific learning objectives, such as to promote empathy or to expose participants to a scenario in which they will have to take part in the future"
84,Collecting,"Elements of virtual knowledge, competencies, or rewards can be represented by virtual objects, which can be collected by the player.",Applying,Simulation,Often associated with role-play it is increasingly used with ICTbased learning activities for decision-making to simulate cause and effect.
85,Cooperation-Collaboration,"In cooperative games, the mechanics require players to work with one another but their goals are different, and not all players are guaranteed to benefit equally. In collaborative games, players share common goals and outcomes; players either win or lose together. Cooperative games exist on the spectrum between competitive and collaborative games, where gamers are rewarded for group-oriented strategies only when it is in their own self-interest.",Applying,Action-Task,"An approach to learning involving individuals working on real projects, possibly with group support (collaborative/cooperative learning) to assist members reflect on their experience and to plan next actions."
86,Cooperation-Collaboration,"In cooperative games, the mechanics require players to work with one another but their goals are different, and not all players are guaranteed to benefit equally. In collaborative games, players share common goals and outcomes; players either win or lose together. Cooperative games exist on the spectrum between competitive and collaborative games, where gamers are rewarded for group-oriented strategies only when it is in their own self-interest.",Applying,Competition,Competitive learning is often used as an extracurricular activity to develop creativity and problem solving skills. Game theory offers techniques for formulating competition between parties that wish to reach an optimal position.
